岗位名称,评分
中国外文出版发行事业局所属企事业单位2024年度公开招聘工作人员公告,1964.1528115229114
综合运营岗,70.90214242577937
船舶电气见习工程师,1957.4981287839867
船舶机械见习工程师,1957.4981287839867
船体结构工程师,1957.4981287839867
新营销青年干部专属培训,41.07907261908073
深圳一线城市+提供住宿,41.07907261908073
不限经验和专业+导师一对一带教,40.489641708275954
客户经理(应届毕业生),1970.0471206309592
深圳——A0-3置业助理//无业绩考核,40.489641708275954
涂装见习生,4.93053915528026
安全见习生,5.58185643375018
销售专员,38.55672892460374
品管部检验测试员,37.37786710299418
财务岗,37.31995079644419
人事招聘专员,38.96447079352826
客服,36.42108804731372
安全工程师,7372.264049737108
设备工程师,7370.837642444838
船舶轮机钳工,769.8973704219219
纪检岗,40281.03812546495
水处理工艺设计师,1951.7453296301644
33.三维设计师(天津),782.0607965359196
设备维护工程师,1957.8547306070543
行政秘书,1955.7770060363143
设备工程岗（生产)(007425),1959.870568810129
化药生产技术员,1956.4283233147842
储备内控工程师,1956.6139824177797
物流规划岗(007426),1959.808682442464
泵行业工程师,1951.7453296301644
桥梁助理设计师（应届生）,8116.275490462444
菁英管培生,325.53598121792703
道路助理设计师（应届生）,8116.275490462444
人事综合专员（管培）,644.3365768971371
2024届管培生,27988.26052056585
银行官方接听客服专员,2840.986648289463
财务实习生,33438.911484663164
广安职业技术学院“小平故里英才计划”引进急需紧缺专业人才,27.378137073603476
研发助理工程师,99.41722326859848
产品经理,73.87193246426403
天津药明康德 2024届-有机工艺研究员-天津,5202.199638945646
天津药明康德 2024届-寡核苷酸研究员-天津,5202.199638945646
3D设计实习生,11.551692377552198
业务运维工程师-上市公司,3218.4428255453763
PCB工程实习生 (MJ001965),453.5402969309217
招聘助理（见习生）,6432.951507519533
实习生,1954.4743714793744
商家运营,10.155041454918678
媒介专员,83.69426325274793
初级程序员,1958.5060478855241
跨境电商助理,1958.5060478855241
数据分析师（小白）,1959.4373642364733
暖通工程师,1959.095478796329
工程技术工程师,1959.6849097071338
新媒体营销储备干部,1959.2192515316592
用户及媒体运营,1959.2192515316592
CAD绘图员,1959.6849097071338
电气工程师,1959.808682442464
采购助理（专业不限 全国就近分配）,1958.0403897100496
会计,1951.7453296301644
包装工程岗(007427),1959.808682442464
机械制图,1951.6834432624994
制冷工程师-校招（LZ）,1951.8072159978296
人力管理岗,1951.7453296301644
细胞培养工程师/技术员,1951.6834432624994
电子学测试工程师-校招(LZ),1951.8072159978296
动力运行岗(007428),1959.808682442464
纯化工程师/技术员,1951.6834432624994
Theory思睿2024届零售管理培训生,1961.3588624700644
电气工程师,1959.808682442464
采购助理（专业不限 全国就近分配）,1958.0403897100496
化工能源技术员,1956.5520960501144
通信工程师,1956.6139824177797
药物制剂研究员,9.4603273387231
国际贸易实习生,2.1396109384051707
药物合成实习生,1.4882936599352514
电气监理员,1958.0403897100496
药物制剂实习生,1.4882936599352514
药物分析研究员,9.4603273387231
人事专员（招聘、培训方向）,768.0053049541773
高级行政主管,771.5094368171875
船舶机电主管,771.4475504495223
船体见习主管,771.323777714192
船舶涂装工程主管,771.4475504495223
设备维修电工,769.8973704219219
船舶轮机电工,769.8973704219219
工程技术管理,656.6383042703194
人力资源管理,648.4511787226895
运维工程师,2.644973588962822
市场管培生,157.19136023113452
市场管培生,157.19136023113452
制造工程师,1090.2580942341788
销售管培生,646.8359615033634
蓝月亮2024春招校园大使,772.88869900934
环境方向科技图书策划编辑(J10005),1094.5719479528257
产品专员,5.829401904410731
化学方向科技图书策划编辑(J10004),1094.5719479528257
饲料配方师,2257.6063674894567
音频AI工程师(A115829),337.98886406768423
交付实施工程师（软件）,1958.6298206208544
hr实习生（招聘方向）,6431.017817540192
