id,专业名,人数,需求人数,薪资水平,行业情况
1,世界史,550.0,26.029357133528503,136603.59865383914,采矿业:4.197468422353268,农林牧渔业:1.7797039821743965,制造业:9.360389094945276,电力、热力、燃气及水生产和供应业:0.6971994880586863,建筑业:0.14295350993052125,交通运输、仓储及邮电通信业:4.109999909996986,教育业:27.639999985694885,金融业:1.8551853019744158,居民服务、修理和其他服务业:0.325038236042019,科学研究、技术服务和地质勘查业:0.2694105074624531,批发和零售业:8.926287572830915,水利、环境和公共设施管理业:0.5557641386985779,卫生、社会保障和社会福利业:6.620125938206911,文化、体育和娱乐业:7.7876170398667455,信息传输、计算机服务和软件业:8.19402359193191,住宿和餐饮业:0.6074782693758607,租赁和商务服务业:6.761338375508785,房地产业:10.170000046491623
2,中医学,19000.0,8201.10438265201,148311.34844900988,采矿业:2.3803671821951866,农林牧渔业:1.1387414298951626,制造业:5.224433018520358,电力、热力、燃气及水生产和供应业:0.4461050499230623,建筑业:0.09146872325800359,交通运输、仓储及邮电通信业:0.8131466805934906,教育业:3.620000183582306,金融业:1.666209870018065,居民服务、修理和其他服务业:0.20797550605493598,科学研究、技术服务和地质勘查业:0.1723840025078971,批发和零售业:10.143373440951109,水利、环境和公共设施管理业:0.3556118346750736,卫生、社会保障和社会福利业:62.460000440478325,文化、体育和娱乐业:1.58550109481439,信息传输、计算机服务和软件业:6.331082427641377,住宿和餐饮业:0.3887047176249325,租赁和商务服务业:1.344891870394349,房地产业:1.6300000250339508
3,中国共产党历史,225.0,-22.173083184378942,134867.0389353032,采矿业:3.9058053866028786,农林牧渔业:5.389999970793724,制造业:10.626304782635998,电力、热力、燃气及水生产和供应业:0.7319452706724405,建筑业:0.150075345300138,交通运输、仓储及邮电通信业:3.5900000482797623,教育业:10.209999978542328,金融业:2.733731083571911,居民服务、修理和其他服务业:1.6122375760460272,科学研究、技术服务和地质勘查业:0.2828415366820991,批发和零售业:14.182639122009277,水利、环境和公共设施管理业:0.5834843963384628,卫生、社会保障和社会福利业:6.950210593640804,文化、体育和娱乐业:17.023839452303946,信息传输、计算机服务和软件业:9.302498563192785,住宿和餐饮业:0.6377925164997578,租赁和商务服务业:2.206589770503342,房地产业:9.880000352859497
4,中国少数民族语言文学,3750.0,-412.477431008776,141015.81576840425,采矿业:6.53048250824213,农林牧渔业:2.9764296486973763,制造业:17.321994772646576,电力、热力、燃气及水生产和供应业:1.166023500263691,建筑业:0.2390722744166851,交通运输、仓储及邮电通信业:2.125631831586361,教育业:17.100000381469727,金融业:4.748591594398022,居民服务、修理和其他服务业:0.5436130697489716,科学研究、技术服务和地质勘查业:0.45058927207719535,批发和零售业:6.8722860887646675,水利、环境和公共设施管理业:0.9295646101236343,卫生、社会保障和社会福利业:11.071967706084251,文化、体育和娱乐业:9.501357143744826,信息传输、计算机服务和软件业:11.031189048662782,住宿和餐饮业:1.0161136742681265,租赁和商务服务业:3.5150907235220075,房地产业:2.8599999845027924
5,中草药栽培与鉴定,850.0,314.9664750443012,136595.64346320287,采矿业:1.7761441878974438,农林牧渔业:11.779999732971191,制造业:4.981027389658266,电力、热力、燃气及水生产和供应业:0.37100438494235277,建筑业:0.07606748840771616,交通运输、仓储及邮电通信业:0.6763444282114506,教育业:4.179999977350235,金融业:1.385652692988515,居民服务、修理和其他服务业:0.17296559817623347,科学研究、技术服务和地质勘查业:0.1433687262760941,批发和零售业:10.0598668679595,水利、环境和公共设施管理业:0.2957712160423398,卫生、社会保障和社会福利业:55.3300004452467,文化、体育和娱乐业:1.3187087373808026,信息传输、计算机服务和软件业:3.611340094357729,住宿和餐饮业:0.32331153051927686,租赁和商务服务业:1.1184211645741016,房地产业:2.4000000208616257
6,中药制药,1250.0,862.1886797672399,149817.15082886117,采矿业:0.9376665577292442,农林牧渔业:0.4485039971768856,制造业:2.3589193837324274,电力、热力、燃气及水生产和供应业:0.17570052295923233,建筑业:0.03602402866818011,交通运输、仓储及邮电通信业:1.8699999898672104,教育业:3.2900001853704453,金融业:3.188759135082364,居民服务、修理和其他服务业:0.0819130129457335,科学研究、技术服务和地质勘查业:1.1240037711104378,批发和零售业:0.8371029747650027,水利、环境和公共设施管理业:0.14007218414917588,卫生、社会保障和社会福利业:81.15000035613775,文化、体育和娱乐业:0.6245162076083943,信息传输、计算机服务和软件业:1.7102644924307242,住宿和餐饮业:0.1531152258394286,租赁和商务服务业:0.47939847281668335,房地产业:1.394044328480959
7,中药学,11000.0,5208.532839424359,147105.463200516,采矿业:1.6813921742141247,农林牧渔业:0.8042238652706146,制造业:4.229858791586594,电力、热力、燃气及水生产和供应业:0.3150543896481395,建筑业:0.0645956490188837,交通运输、仓储及邮电通信业:0.5743584595620632,教育业:0.5799999926239252,金融业:3.694407013244927,居民服务、修理和其他服务业:0.14688039555039722,科学研究、技术服务和地质勘查业:0.12174886142020114,批发和零售业:9.07025202177465,水利、环境和公共设施管理业:0.2511702012270689,卫生、社会保障和社会福利业:70.82000151276588,文化、体育和娱乐业:1.1198445805348456,信息传输、计算机服务和软件业:2.5819000002229586,住宿和餐饮业:0.27455968083813787,租赁和商务服务业:0.9497506252955645,房地产业:2.72000003606081
8,中药资源与开发,1750.0,894.9848674723929,146217.17038353757,采矿业:1.2594746891409159,农林牧渔业:3.709999844431877,制造业:3.1684038458479336,电力、热力、燃气及水生产和供应业:0.23599346168339252,建筑业:0.04838565073441714,交通运输、仓储及邮电通信业:0.43023163452744484,教育业:2.2600000724196434,金融业:3.9980542846024036,居民服务、修理和其他服务业:0.11002138089679647,科学研究、技术服务和地质勘查业:0.09119698406721,批发和零售业:6.21702098287642,水利、环境和公共设施管理业:0.1881418051198125,卫生、社会保障和社会福利业:72.72999938577414,文化、体育和娱乐业:0.8388287969864905,信息传输、计算机服务和软件业:2.2971684753429145,住宿和餐饮业:0.2056627068668604,租赁和商务服务业:0.711413862882182,房地产业:1.4999999664723873
9,中西医临床医学,8500.0,4776.498375331342,149287.9339525868,采矿业:1.2582389637827873,农林牧渔业:0.6018113344907761,制造业:3.1652527915866813,电力、热力、燃气及水生产和供应业:0.23575867526233196,建筑业:0.04833738494198769,交通运输、仓储及邮电通信业:0.42980844154953957,教育业:1.8699999898672104,金融业:4.139999998733401,居民服务、修理和其他服务业:0.10991161034326069,科学研究、技术服务和地质勘查业:0.0911064835236175,批发和零售业:3.1564984063152224,水利、环境和公共设施管理业:0.1879557967185974,卫生、社会保障和社会福利业:77.50000134110451,文化、体育和娱乐业:2.1236674510873854,信息传输、计算机服务和软件业:2.29488906043116,住宿和餐饮业:0.20546014420688152,租赁和商务服务业:0.7107030716724694,房地产业:1.8706051632761955
10,临床医学,82500.0,38179.493535366855,144972.79516337244,采矿业:2.256110869348049,农林牧渔业:1.079054456204176,制造业:7.692592582679936,电力、热力、燃气及水生产和供应业:0.422720517963171,建筑业:0.08666955982334912,交通运输、仓储及邮电通信业:0.7706731092184782,教育业:4.399999976158142,金融业:1.5787958167493343,居民服务、修理和其他服务业:0.19707295796251856,科学研究、技术服务和地质勘查业:0.16335675754817203,批发和零售业:8.54995809495449,水利、环境和公共设施管理业:0.33701309002935886,卫生、社会保障和社会福利业:65.36999940872192,文化、体育和娱乐业:1.5025553293526173,信息传输、计算机服务和软件业:3.020723510417156,住宿和餐饮业:0.3684017574414611,租赁和商务服务业:1.2742962164338678,房地产业:0.9300000034272671
